ITEM #,CATEGORY,Name,DESCRIPTION,DIMENSIONS   (W x H x L),WS PRICE,MSRP,STRAP LENGTH, COLLECTION ,UPC CODE
1915634,Handbag,Zip-Top Fashion Tote,"Zip-Top Fashion Tote with back zipper compartment. Inside has zipper pocket and pouches. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 10 x 3.5,$122.50,$245.00,"12"" drop",Roses Are Red,671893041564
1915682,Ladies' Accessory,Wallet with Adjustable Strap,"Ladies Hipster Wallet with adjustable, detachable shoulder strap. Inside has two large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 4 x 1.5,$49.00,$98.00,"27 - 29"" drop",Roses Are Red,671893042080
1915690,Dayplanner,Dayplanner/Address Book with Insert,"Zip-Around Dayplanner and address book with re-orderable daily planner and tabbed contact organizer. Inside has 6 flap pockets, 1 zipper compartment, 1 large pocket, and pen holder. Hand-tooled and hand painted red rose on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 10 x 1,$64.00,$128.00,N/A,Roses Are Red,671893042097
1915691,Dayplanner,Small Dayplanner with Insert,"Small dayplanner with reorderable daily planner. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",6 x 9,$37.00,$74.00,N/A,Roses Are Red,671893042103
1915790,Gift,"Small Address Book, Checkbook Holder","Small address book/checkbook cover with contact organizer. Hand-tooled and hand painted red rose on vegetable tanned dark chocolate brown leather. Trimmed with caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4 x 7,$28.00,$56.00,N/A,Roses Are Red,671893042110
1915799,New cell phone case,"Camera, PDA, MP3 Player, Cell Phone Case","Small Case made to fit MP3 Players, digital cameras, PDAs, and cell phones. Snap closure on flap. Durable metal belt clip on back. Hand-tooled and hand painted red rose on vegetable tanned dark chocolate brown leather. Trimmed with caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.25 x 5 x 1,$22.50,$45.00,N/A,Roses Are Red,671893042127
1915882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$32.00,$64.00,N/A,Roses Are Red,671893042134
1950745,Gift,American West Signature Keychain,"American West signature keychain made with chocolate brown leather and a floral silver metal concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2 x 2,$6.00,$12.00,N/A,Keychains,671893041137
1978112,Handbag,3 Compartment Traveler,"3 Compartment Traveler with multiple organizing pockets. 1 main compartment with zipper closure, and 2 outer compartments with magnetic closure. Inside also has a zipper pocket and two open pouches. Back zipper compartment, and 2 side open accessory pockets. Hand tooled vegetable tanned turquoise leather body that is hand-rubbed a second time with dark brown stain to create a two-tone effect, and trimmed with dark brown hand tooled leather. Accented with silver spots and a scroll cut-out design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 12 x 4.5,$122.50,$245.00,"11"" drop",Road Trip Totes,671893041762
1978282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned antique turquoise leather, hand rubbed for a unique finish, and hand tooled dark drown leather. Accented with silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$36.00,$72.00,N/A,Road Trip Totes,671893041793
1978560,Handbag,Zip Top Tote,"Zip Top Tote. Inside has zipper pocket and two pouches. Hand tooled and hand-stained vegetable tanned rich brown leather, with hand tooled vegetable tanned antique turquoise leather trim.  Accented with lots of silver spots and cross conchos. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",12 x 11 x 5,$104.00,$208.00,"11"" drop ",Boot Scoot Boogie,671893039585
1978647,Handbag,Zip-Top Bucket Tote,"Zip-Top Bucket Tote with back zipper compartment. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned turquoise leather body that is hand-rubbed a second time with dark brown stain to create a two-tone effect, and trimmed with dark brown hand tooled leather. Accented with silver spots and a scroll cut-out design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 9 x 3.5,$84.00,$168.00,"11"" drop",Sonoma Skies,671893042141
1978882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned turquoise leather body that is hand-rubbed a second time with brown stain to create a two-tone effect, and trimmed with dark brown hand tooled leather. Accented with silver spots and a scroll cut-out design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$31.00,$62.00,N/A,Sonoma Skies,671893042158
2002560,Handbag,Zip Top Tote,"Zip Top Tote. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned caramel leather trim, with black vegetable tanned leather body. Cut-outs in the leather are accented with blue, red, and green leathers, and a decorative stitch design. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",12 x 11 x 5,$104.00,$208.00,"11"" drop ",Boot Scoot Boogie,671893039561
2002690,Dayplanner,Dayplanner/Address Book with Insert,"Zip-Around Dayplanner and address book with re-orderable daily planner and tabbed contact organizer. Inside has 6 flap pockets, 1 zipper compartment, 1 large pocket, and pen holder. Hand tooled vegetable tanned caramel leather trim, with black vegetable tanned leather. Cut-outs in the leather are accented with blue, red, and green leathers, and a decorative stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 10 x 1,$60.00,$120.00,N/A,Boot Scoot Boogie,671893042165
2002691,Dayplanner,Small Dayplanner with Insert,"Small dayplanner with reorderable daily planner. Vegetable tanned caramel leather trim, with black vegetable tanned leather. Cut-outs in the leather are accented with blue, red, and green leathers, and a decorative stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",6 x 9,$34.00,$68.00,N/A,Boot Scoot Boogie,671893042172
2002790,Gift,"Small Address Book, Checkbook Holder","Small address book/checkbook cover with contact organizer. Black vegetable tanned leather, with cut-outs in the leather that are accented with blue, red, and green leathers, and a decorative stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4 x 7,$24.00,$48.00,N/A,Boot Scoot Boogie,671893042189
2015516,Backpack,Large Drawstring Backpack with Front Pockets,"Large drawstring backpack with 2 front pockets and adjustable shoulder straps. Back of backpack has another zipper compartment and a comfortable handle. Soft pebble black leather body, and hand tooled caramel leather trim. Accented with silver spots and a horseshoe concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",12 x 14 x 6,$129.00,$258.00,2 long adjustable straps,Road Trip,671893039950
2020270,Ladies' Wallet,Flap Wallet,"Ladies flap wallet with snap closure. Inside has three large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand-tooled vegetable tanned black leather accented with silver spots and sparkling crystal spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$36.00,$72.00,N/A,Sonoma Skies,671893042196
2020647,Handbag,Zip-Top Bucket Tote,"Zip-Top Bucket Tote with back zipper compartment. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned black leather trimmed with silver colored chrome leather. Body is made of soft, tumbled black chrome leather, and is accented with silver spots and crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 9 x 3.5,$84.00,$168.00,"11"" drop",Sonoma Skies,671893042202
2020882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand-tooled vegetable tanned black leather accented with silver spots and featuring a silver floral concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$31.00,$62.00,N/A,Heartland,671893042219
2065112,Handbag,3 Compartment Traveler,"3 Compartment Traveler with multiple organizing pockets. 1 main compartment with zipper closure, and 2 outer compartments with magnetic closure. Inside also has a zipper pocket and two open pouches. Back zipper compartment, and 2 side open accessory pockets. Hand tooled vegetable tanned antique brown leather, and black hand tooled leather. Accented with antiqued silver spots and a rope-style buckle. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 12 x 4.5,$122.50,$245.00,"11"" drop",Road Trip Totes,671893041779
2065282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned antique brown leather and hand tooled black leather. Accented with antiqued silver spots and a rope-style buckle. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$36.00,$72.00,N/A,Road Trip Totes,671893041809
2099745,Gift,American West Signature Keychain,"American West signature keychain made with black leather and a cross silver metal concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2 x 2,$6.00,$12.00,N/A,Keychains,671893041120
2201275,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with 2 front pouches and an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned antique black leather, accented with antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 8 x 3.5,$72.50,$145.00,"11-13"" drop",Heartland,671893041380
2202275,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with 2 front pouches and an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned cherry colored leather, accented with antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 8 x 3.5,$72.50,$145.00,"11-13"" drop",Heartland,671893041397
2203275,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with 2 front pouches and an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned antique turquoise colored leather, accented with antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 8 x 3.5,$72.50,$145.00,"11-13"" drop",Heartland,671893041403
2205275,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with 2 front pouches and an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with medium brown stain to create a two-tone effect, and trimmed with medium brown hand tooled leather. Accented with antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 8 x 3.5,$72.50,$145.00,"11-13"" drop",Heartland,671893041410
2206275,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with 2 front pouches and an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned antique brown leather, accented with antiqued silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 8 x 3.5,$72.50,$145.00,"11-13"" drop",Heartland,671893041427
2585069,Briefcase,3 Compartment Briefcase with 2 Front Pouches and Laptop Compartment,"3 Compartment Briefcase with two front pouches and Laptop compartment. Inside contains organizing pockets and a padded compartment for safely storing a laptop. Briefcase includes adjustable/removable shoulder strap. Hand tooled vegetable tanned chocolate brown and antique brown leathers with chocolate brown chrome leather body and silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",16 x 11.5 x 6,$229.00,$458.00,N/A,Cattle Drive,671893036898
2585264,Luggage,Dop/Shaving Kit,"Dop/Shaving Kit. Inside has plastic lining and organized compartments. Hand tooled vegetable tanned chocolate brown and antique brown leathers with chocolate brown chrome leather body and silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",10 x 6.5 x 4,$60.00,$120.00,N/A,Cattle Drive,671893036904
2585353,Briefcase,Zip-Around Briefcase with Back Open Pocket,"Single compartment briefcase. Inside has file divider, zipper pocket and organizer compartments. Large snap pocket on back. Briefcase includes adjustable/removable shoulder strap. Hand tooled vegetable tanned chocolate brown and antique brown leathers with chocolate brown chrome leather body and silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",16 x 11.5 x 3,$139.00,$278.00,N/A,Cattle Drive,671893036911
2585721,Luggage,Zip Around Rodeo Bag with Front Pouch and Side Zipper Pockets,"Rodeo bag with zip around top flap. Zipper compartments on each end of the bag and open pockets on the side compartments. Front pouch with snap closure. Luggage includes adjustable/removable shoulder strap. Hand tooled vegetable tanned chocolate brown and antique brown leathers with chocolate brown chrome leather body and silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",22 x 11 x 10,$219.00,$438.00,N/A,Cattle Drive,671893036928
2585739,Luggage,Duffel Bag with 2 Front Pouches,"Single compartment duffel bag with zipper closure. Inside has zipper pocket and pouches. Two front compartments have snap closure. Luggage includes adjustable/detachable shoulder strap.  Hand tooled vegetable tanned chocolate brown and antique brown leathers with chocolate brown chrome leather body and silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18 x 13 x 10,$219.00,$438.00,N/A,Cattle Drive,671893036935
2585745,Gift,American West Signature Keychain,"American West signature keychain made with chocolate brown leather and an open star silver metal concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2 x 2,$6.00,$12.00,N/A,Keychains,671893041151
3120282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Black hair-on cowhide decorated with black hand tooled leather and accented with a bold rope-style ring. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Santa Fe Spirit,671893042226
3120572,Handbag,Slouch Hobo,"Zip-top slouch hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Black hair-on cowhide decorated with black hand tooled leather and accented with contrast stitching and a bold rope-style ring and buckles. Body is made of black soft chrome leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 11 x 4,$110.00,$220.00,"16-19""",Santa Fe Spirit,671893042233
3140282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Chocolate hair on cowhide bordered by chocolate brown hand tooled leather and accented with bold antiqued silver spots and leather lacing. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Santa Fe Spirit,671893042240
3140572,Handbag,Slouch Hobo,"Zip-top slouch hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Chocolate hair on cowhide bordered by chocolate brown hand tooled leather and accented with bold antiqued silver spots and leather lacing. Body is made of chocolate brown soft chrome leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 11 x 4,$110.00,$220.00,"16-19""",Santa Fe Spirit,671893042257
3150282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Brown and white printed hair-on cowhide bordered by chocolate brown hand tooled leather and accented with rows of various silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Santa Fe Spirit,671893042264
3150572,Handbag,Slouch Hobo,"Zip-top slouch hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Brown and white printed hair-on cowhide bordered by chocolate brown hand tooled leather and accented with rows of various silver spots. Body is made of chocolate brown soft chrome leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 11 x 4,$110.00,$220.00,"16-19""",Santa Fe Spirit,671893042271
3162282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Leopard-print hair on cowhide, surrounded by chocolate brown chrome leather and accented with bold brass spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Santa Fe Spirit,671893042288
3162572,Handbag,Slouch Hobo,"Zip-top slouch hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Leopard-print hair on cowhide, surrounded by chocolate brown chrome leather and accented with bold brass spots. Body is made of chocolate brown soft chrome leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 11 x 4,$110.00,$220.00,"16-19""",Santa Fe Spirit,671893042295
3552745,Gift,American West Signature Keychain,"American West signature keychain made with wine red leather and an brass floral concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2 x 2,$6.00,$12.00,N/A,Keychains,671893041144
4310801,Pillow,Longhorn Ranch,"Decorative pillow with brown chrome leather, brindle cowhide, and hand-tooled vegetable tanned mahogany leather. Back of pillow is brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18 x 18 ,$99.00,$198.00,N/A,Home Collection,671893031947
4318520,Pillow,Sunset Ranch,"Decorative pillow with hand tooled vegetable tanned antique brown leather, and turquoise leather accents. Leather is decorated with silver spots. Back of pillow is brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20 x 14,$89.00,$178.00,N/A,Home Collection,671893036942
4318560,Pillow,Lady Lace,"Decorative pillow with hand tooled vegetable tanned antique brown leather, and turquoise leather accents. Leather is decorated with silver and turquoise spots. Back of pillow is brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20 x 14,$94.50,$189.00,N/A,Home Collection,671893036959
4321950,Pillow,Tumbleweed,"Decorative pillow made with hand tooled rich brown leather and distressed brown tumbled chrome. Decorated with antiqued silver spots. Fringe and back of pillow are suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20 x 20,$99.00,$198.00,N/A,Home Collection,671893036966
4325085,Pillow,Lucky Star Pillow,"Decorative pillow made of hand tooled chocolate brown and tan brown leathers, on top of a dark reddish brown exotic brindle hair-on cowhide. Accented with smooth silver spots, and featuring a star and horseshoe appliqué. Fringe and back of pillow are brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18 x 18 ,$110.00,$220.00,N/A,Home Collection,671893040376
4326535,Pillow,Victoria Grace Pillow,"Decorative pillow made of hand tooled tan brown leather, cut-out in an intricate scroll design on top of chocolate brown hair-on cowhide. Accented with antiqued silver spots and contrast stitching. Back of pillow is brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18 x 18 ,$134.00,$268.00,N/A,Home Collection,671893040383
4328550,Pillow,Desert Bloom,"Decorative pillow with hand tooled vegetable tanned antique brown leather, surrounded by chestnut brown leather. Leather is decorated with silver spots. Back of pillow and fringe is chestnut brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20  x 20,$94.50,$189.00,N/A,Home Collection,671893033590
4340894,Pillow,Jackeroo,"Decorative pillow made with hand tooled brown leather and brown printed cowhide. Decorated with stitching and antique brass spots. Fringe and back of pillow are brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20 x 14,$99.00,$198.00,N/A,Home Collection,671893035495
4362883,Pillow,Lucky Cowgirl,"Decorative leather pillow. Hand tooled vegetable tanned brown leather, and various printed hair-on cowhides.  Decorated with horseshoe concho and leather lacing. Fringe and back of pillow are suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20 x 20,$119.00,$238.00,N/A,Home Collection,671893032890
4365802,Pillow,Bonanza,"Decorative pillow made of brown chrome, hand tooled antique brown leather, and accented with classic spot design. Fringe and back of pillow are brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20 x 14,$89.00,$178.00,N/A,Home Collection,671893035518
4381803,Pillow,Cheyenne,"Decorative pillow with vegetable tanned brown leather and concho and spot design. Back is brown suede, and has zipper pocket for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18x18,$89.00,$178.00,N/A,Home Collection,671893010218
4382803,Pillow,Santa Fe,"Decorative pillow with vegetable tanned brown leather and concho and spot design. Fringe and back of pillow are brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18x18,$94.50,$189.00,N/A,Home Collection,671893010256
4383803,Pillow,Apache,"Decorative pillow made with brown and white printed cowhide and stitched with brown suede. Fringe and back of pillow are brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18x18,$110.00,$220.00,N/A,Home Collection,671893010287
4385875,Pillow,Ramblin Rose,"Decorative pillow with brown chrome leather and hand tooled vegetable tanned antique brown leather. Decorated with metal spots and leather stitching. Fringe and back of pillow are brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",20x14,$82.50,$165.00,N/A,Home Collection,671893032906
4395804,Pillow,Pueblo,"Decorative pillow made of brown and white printed cowhide. Fringe and back of pillow are brown suede. Zipper pocket on back for easy access. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",19 x 19,$110.00,$220.00,N/A,Home Collection,671893012984
4756270,Ladies' Wallet,Flap Wallet,"Ladies flap wallet with snap closure. Inside has three large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand tooled vegetable tanned sunflower yellow leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Downtown Diva,671893042301
4756282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned sunflower yellow leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Downtown Diva,671893042318
4756285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned sunflower yellow leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$84.00,$168.00,"11-14"" drop",Downtown Diva,671893042325
4756427,Handbag,Scoop Top Structured Hobo,"Scoop-top hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned sunflower yellow leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 3.5,$99.00,$198.00,"13-14"" drop",Downtown Diva,671893042332
4756499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned sunflower yellow leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots and sparkling crystal spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$21.00,$42.00,N/A,Downtown Diva,671893042349
4756826,Handbag,3 Compartment Zip-Top Tote,"3 Compartment Zip-Top Tote. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned sunflower yellow leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 5,$110.00,$220.00,"11"" drop",Downtown Diva,671893042356
4756882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned sunflower yellow leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$32.00,$64.00,N/A,Downtown Diva,671893042363
4761270,Ladies' Wallet,Flap Wallet,"Ladies flap wallet with snap closure. Inside has three large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand tooled vegetable tanned prairie grass green leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Downtown Diva,671893042370
4761282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned prairie grass green leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and a striking buckle that is accented with even more crystals. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Downtown Diva,671893042387
4761285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned prairie grass green leather body that is hand-rubbed a second time with darker stain to create a beautiful two-tone effect. Accented with silver spots, sparkling crystals, and striking buckles that are accented with even more crystals. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$84.00,$168.00,"11-14"" drop",Downtown Diva,671893042394
